edge_type_id target_query source_query syn_weight weight_function weight_sigma delay dynamics_params model_template
138 node_type_id=='517982558' pop_name=='i23Sst' -0.711362771095 DirectionRule_others 90.0 1.5 i2e.json static_synapse
139 node_type_id=='517982558' pop_name=='i4Htr3a' -0.68765067873 DirectionRule_others 90.0 1.5 i2e.json static_synapse
140 node_type_id=='517982558' pop_name=='i4Sst' -0.68765067873 DirectionRule_others 90.0 1.5 i2e.json static_synapse
141 node_type_id=='517982558' pop_name=='e4Nr5a1' 13.687266409400001 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
142 node_type_id=='517982558' pop_name=='i1Htr3a' -0.995907879535 DirectionRule_others 90.0 3.8 i2e.json static_synapse
143 node_type_id=='517982558' pop_name=='i5Sst' -0.66393858636 DirectionRule_others 90.0 1.5 i2e.json static_synapse
144 node_type_id=='517982558' pop_name=='e5noRbp4' 10.4440988666 DirectionRule_EE 30.0 2.5 e2e.json static_synapse
145 node_type_id=='517982558' pop_name=='i6Sst' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
146 node_type_id=='517982558' pop_name=='e6Ntsr1' 0.0 DirectionRule_EE 30.0 1.0 e2e.json static_synapse
147 node_type_id=='477135941' pop_name=='e5Rbp4' 3.91250929935 DirectionRule_EE 30.0 2.5 e2e.json static_synapse
148 node_type_id=='477135941' pop_name=='e23Cux2' 3.5006662152199994 DirectionRule_EE 30.0 1.6 e2e.json static_synapse
149 node_type_id=='477135941' pop_name=='i6Pvalb' -0.07195140940650001 DirectionRule_others 90.0 0.9 i2e.json static_synapse
150 node_type_id=='477135941' pop_name=='e4Scnn1a' 5.1274463976 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
151 node_type_id=='477135941' pop_name=='i23Pvalb' -0.497441842809 DirectionRule_others 90.0 0.9 i2e.json static_synapse
152 node_type_id=='477135941' pop_name=='i6Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
153 node_type_id=='477135941' pop_name=='i5Htr3a' -0.257603811455 DirectionRule_others 90.0 1.5 i2e.json static_synapse
154 node_type_id=='477135941' pop_name=='i23Htr3a' -0.257603811455 DirectionRule_others 90.0 1.5 i2e.json static_synapse
155 node_type_id=='477135941' pop_name=='e4Rorb' 5.1274463976 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
156 node_type_id=='477135941' pop_name=='e4other' 5.1274463976 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
157 node_type_id=='477135941' pop_name=='i5Pvalb' -0.0 DirectionRule_others 90.0 0.9 i2e.json static_synapse
158 node_type_id=='477135941' pop_name=='i4Pvalb' -0.56850496321 DirectionRule_others 90.0 0.9 i2e.json static_synapse
159 node_type_id=='477135941' pop_name=='i23Sst' -0.266486701505 DirectionRule_others 90.0 1.5 i2e.json static_synapse
160 node_type_id=='477135941' pop_name=='i4Htr3a' -0.257603811455 DirectionRule_others 90.0 1.5 i2e.json static_synapse
161 node_type_id=='477135941' pop_name=='i4Sst' -0.257603811455 DirectionRule_others 90.0 1.5 i2e.json static_synapse
162 node_type_id=='477135941' pop_name=='e4Nr5a1' 5.1274463976 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
163 node_type_id=='477135941' pop_name=='i1Htr3a' -0.373081382107 DirectionRule_others 90.0 3.8 i2e.json static_synapse
164 node_type_id=='477135941' pop_name=='i5Sst' -0.24872092140500002 DirectionRule_others 90.0 1.5 i2e.json static_synapse
165 node_type_id=='477135941' pop_name=='e5noRbp4' 3.91250929935 DirectionRule_EE 30.0 2.5 e2e.json static_synapse
166 node_type_id=='477135941' pop_name=='i6Sst' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
167 node_type_id=='477135941' pop_name=='e6Ntsr1' 0.0 DirectionRule_EE 30.0 1.0 e2e.json static_synapse
168 node_type_id=='422738880' pop_name=='e5Rbp4' 4.77999579791 DirectionRule_EE 30.0 2.5 e2e.json static_synapse
169 node_type_id=='422738880' pop_name=='e23Cux2' 4.27683834551 DirectionRule_EE 30.0 1.6 e2e.json static_synapse
170 node_type_id=='422738880' pop_name=='i6Pvalb' -0.0879045666865 DirectionRule_others 90.0 0.9 i2e.json static_synapse
171 node_type_id=='422738880' pop_name=='e4Scnn1a' 6.26431028253 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
172 node_type_id=='422738880' pop_name=='i23Pvalb' -0.607735275855 DirectionRule_others 90.0 0.9 i2e.json static_synapse
173 node_type_id=='422738880' pop_name=='i6Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
174 node_type_id=='422738880' pop_name=='i5Htr3a' -0.314720053569 DirectionRule_others 90.0 1.5 i2e.json static_synapse
175 node_type_id=='422738880' pop_name=='i23Htr3a' -0.314720053569 DirectionRule_others 90.0 1.5 i2e.json static_synapse
176 node_type_id=='422738880' pop_name=='e4Rorb' 6.26431028253 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
177 node_type_id=='422738880' pop_name=='e4other' 6.26431028253 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
178 node_type_id=='422738880' pop_name=='i5Pvalb' -0.0 DirectionRule_others 90.0 0.9 i2e.json static_synapse
179 node_type_id=='422738880' pop_name=='i4Pvalb' -0.6945546009800001 DirectionRule_others 90.0 0.9 i2e.json static_synapse
180 node_type_id=='422738880' pop_name=='i23Sst' -0.32557246920899996 DirectionRule_others 90.0 1.5 i2e.json static_synapse
181 node_type_id=='422738880' pop_name=='i4Htr3a' -0.314720053569 DirectionRule_others 90.0 1.5 i2e.json static_synapse
182 node_type_id=='422738880' pop_name=='i4Sst' -0.314720053569 DirectionRule_others 90.0 1.5 i2e.json static_synapse
183 node_type_id=='422738880' pop_name=='e4Nr5a1' 6.26431028253 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
184 node_type_id=='422738880' pop_name=='i1Htr3a' -0.455801456893 DirectionRule_others 90.0 3.8 i2e.json static_synapse
185 node_type_id=='422738880' pop_name=='i5Sst' -0.303867637929 DirectionRule_others 90.0 1.5 i2e.json static_synapse
186 node_type_id=='422738880' pop_name=='e5noRbp4' 4.77999579791 DirectionRule_EE 30.0 2.5 e2e.json static_synapse
187 node_type_id=='422738880' pop_name=='i6Sst' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
188 node_type_id=='422738880' pop_name=='e6Ntsr1' 0.0 DirectionRule_EE 30.0 1.0 e2e.json static_synapse
189 node_type_id=='488419491' pop_name=='e5Rbp4' 11.9025784896 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
190 node_type_id=='488419491' pop_name=='e23Cux2' 10.676252221 DirectionRule_EE 30.0 1.8 e2e.json static_synapse
191 node_type_id=='488419491' pop_name=='i6Pvalb' -0.100821841324 DirectionRule_others 90.0 0.9 i2e.json static_synapse
192 node_type_id=='488419491' pop_name=='e4Scnn1a' 22.723104389299998 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
193 node_type_id=='488419491' pop_name=='i23Pvalb' -0.248942818083 DirectionRule_others 90.0 0.9 i2e.json static_synapse
194 node_type_id=='488419491' pop_name=='i6Htr3a' -0.348519945316 DirectionRule_others 90.0 1.5 i2e.json static_synapse
195 node_type_id=='488419491' pop_name=='i5Htr3a' -0.348519945316 DirectionRule_others 90.0 1.5 i2e.json static_synapse
196 node_type_id=='488419491' pop_name=='i23Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
197 node_type_id=='488419491' pop_name=='e4Rorb' 22.723104389299998 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
198 node_type_id=='488419491' pop_name=='e4other' 22.723104389299998 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
199 node_type_id=='488419491' pop_name=='i5Pvalb' -1.00821841324 DirectionRule_others 90.0 0.9 i2e.json static_synapse
200 node_type_id=='488419491' pop_name=='i4Pvalb' -0.908641286005 DirectionRule_others 90.0 0.9 i2e.json static_synapse
201 node_type_id=='488419491' pop_name=='i23Sst' -0.273837099892 DirectionRule_others 90.0 1.5 i2e.json static_synapse
202 node_type_id=='488419491' pop_name=='i4Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
203 node_type_id=='488419491' pop_name=='i4Sst' -0.348519945316 DirectionRule_others 90.0 1.5 i2e.json static_synapse
204 node_type_id=='488419491' pop_name=='e4Nr5a1' 22.723104389299998 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
205 node_type_id=='488419491' pop_name=='i1Htr3a' -0.522779917975 DirectionRule_others 90.0 3.8 i2e.json static_synapse
206 node_type_id=='488419491' pop_name=='i5Sst' -0.33607280441200005 DirectionRule_others 90.0 1.5 i2e.json static_synapse
207 node_type_id=='488419491' pop_name=='e5noRbp4' 11.9025784896 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
208 node_type_id=='488419491' pop_name=='i6Sst' -0.33607280441200005 DirectionRule_others 90.0 1.5 i2e.json static_synapse
209 node_type_id=='488419491' pop_name=='e6Ntsr1' 3.3182946092299996 DirectionRule_EE 30.0 3.5 e2e.json static_synapse
210 node_type_id=='480169178' pop_name=='e5Rbp4' 14.6259058656 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
211 node_type_id=='480169178' pop_name=='e23Cux2' 13.1189943522 DirectionRule_EE 30.0 1.8 e2e.json static_synapse
212 node_type_id=='480169178' pop_name=='i6Pvalb' -0.12389002615599999 DirectionRule_others 90.0 0.9 i2e.json static_synapse
213 node_type_id=='480169178' pop_name=='e4Scnn1a' 27.9221839252 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
214 node_type_id=='480169178' pop_name=='i23Pvalb' -0.305901299151 DirectionRule_others 90.0 0.9 i2e.json static_synapse
215 node_type_id=='480169178' pop_name=='i6Htr3a' -0.428261818811 DirectionRule_others 90.0 1.5 i2e.json static_synapse
216 node_type_id=='480169178' pop_name=='i5Htr3a' -0.428261818811 DirectionRule_others 90.0 1.5 i2e.json static_synapse
217 node_type_id=='480169178' pop_name=='i23Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
218 node_type_id=='480169178' pop_name=='e4Rorb' 27.9221839252 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
219 node_type_id=='480169178' pop_name=='e4other' 27.9221839252 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
220 node_type_id=='480169178' pop_name=='i5Pvalb' -1.23890026156 DirectionRule_others 90.0 0.9 i2e.json static_synapse
